1,2,AdhesiveBlanket,ADB,63
2,3,AdhesiveRoller,ADR,64
3,1,Accessory,ACC,64
4,4,Bar,BAR,63
5,5,Blanket,BLK,60
7,6,RollBlanket,RBL,63
8,7,Chemical,CHM,59
9,8,Compound,CMP,64
10,9,Core,CRE,64
11,10,Underpacking,UPC,62
12,11,Roller,ROL,61
13,12,Packaging,PCK,187
14,13,ATK,ATK,196
15,14,IT,IT,211
16,15,Core Repair,CRP,64
17,16,GA Maintenance Office,GMO,209
18,17,GA Supply,GAS,206
19,18,Production Consumables,PCC,125
20,19,Production Machine Equipment,PME,213
21,20,Production Maintenance Machine,PMM,213
22,21,Vehicle,VEH,146
25,22,Production Warehouse Maintenance,PWM,210
26,23,GA Inventory Maintenance,"GIM

perawatan barang inventoris GA",211
27,24,Production Machine & Tools,PMC,152
28,25,GA Asset,Aset2 khusus barang GA,149
30,26,Vehicle Maintenance,Service Kendaraan,212
31,27,Production Supply,Keperluan Produksi,206
