Id,PaymentRequestId,AccountId,Code,Status,Amount,IsLegacy,IsConfirmed,ConfirmationDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,1,106,2015.1.1.1,1,100000,False,False,,True,2015-01-27 15:23:28,,2015-01-27 15:23:36
2,4,106,2015.2.1.1,1,10000,False,False,,False,2015-02-22 21:54:26,,
3,5,22,2015.3.1.1,1,836660,False,False,,False,2015-03-05 16:25:12,2015-03-05 16:25:53,
4,6,22,2015.3.2.2,1,202400,False,False,,False,2015-03-05 16:28:45,,
5,7,21,2015.3.3.3,1,5509.29,False,False,,False,2015-03-05 16:32:07,,
6,8,269,2015.3.4.4,1,660000,False,False,,False,2015-03-10 21:07:50,,
7,9,11,2015.3.5.5,1,500000,False,False,,False,2015-03-12 22:25:39,,
8,11,269,2015.5.1.1,1,20068000,False,False,,False,2015-05-18 22:23:11,,
9,11,34,2015.5.1.2,1,42143000,False,False,,False,2015-05-18 22:23:38,,
10,11,31,2015.5.1.3,1,10536000,False,False,,False,2015-05-18 22:24:07,,
11,11,269,2015.5.1.4,1,100000,False,False,,False,2015-05-18 22:24:28,,
12,13,269,2015.5.2.5,1,1946168,False,False,,False,2015-05-18 23:03:38,,
13,13,34,2015.5.2.6,1,2295000,False,False,,False,2015-05-18 23:04:05,,
14,13,31,2015.5.2.7,1,574000,False,False,,False,2015-05-18 23:04:29,,
15,13,34,2015.5.2.8,1,7531,False,False,,False,2015-05-18 23:05:00,,
16,14,94,2015.5.3.9,1,4640000,False,False,,False,2015-05-19 14:59:44,,
17,15,107,2015.5.4.10,1,250000,False,False,,False,2015-05-31 17:54:33,,
