Id,PurchaseReceivalId,Description,Code,NomorSurat,CurrencyId,ExchangeRateAmount,ExchangeRateId,AmountPayable,Discount,IsTaxable,Tax,InvoiceDate,DueDate,IsConfirmed,ConfirmationDate,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,7,,2015.1.1,11,3,0,,0,0,False,0,2015-01-20,2015-01-20,False,,True,2015-01-20 06:06:39,,2015-01-22 08:25:42
2,9,,2015.1.1,15883986,2,12158,6,4862,0,False,10,2014-12-09,2015-01-09,True,2014-12-09,False,2015-01-22 08:40:47,2015-03-10 23:57:13,
3,9,,2015.1.2,15883988,2,0,,0,0,False,10,2015-01-09,2015-01-09,False,,True,2015-01-22 08:47:07,,2015-01-22 08:47:29
4,8,,2015.1.2,test,2,12158,6,0,0,False,10,2015-01-30,2015-01-30,False,,True,2015-01-30 11:46:13,2015-01-30 13:23:53,2015-01-30 13:26:32
5,20,,2015.1.3,test2,1,1,,0,0,False,10,2015-01-30,2015-01-30,False,,True,2015-01-30 11:49:29,2015-01-30 13:25:38,2015-01-30 13:26:28
6,43,,2015.3.1,14131454,1,1,,47460369,0,False,10,2014-12-30,2015-01-13,False,,False,2015-03-02 19:49:05,2015-03-05 16:15:12,
7,68,,2015.3.2,03/12/14,1,0,,0,0,False,10,2014-12-02,2014-12-16,False,,True,2015-03-05 16:54:14,,2015-03-05 17:06:48
8,69,,2015.3.3,testing,1,0,,0,0,False,0,2015-02-03,2015-03-06,False,,True,2015-03-05 17:05:26,,2015-03-05 17:06:33
9,70,,2015.3.2,03/12/14,1,0,,625000,0,False,0,2014-12-02,2014-12-16,False,,False,2015-03-05 17:50:37,,
10,32,,2015.3.3,06/12/14,1,1,,462000,0,False,10,2014-12-09,2015-01-09,True,2014-12-09,False,2015-03-05 20:03:24,2015-03-10 23:57:30,
11,8,,2015.3.4,02/01/15,2,12158,6,2838,0,False,10,2014-12-09,2015-01-09,True,2014-12-09,False,2015-03-10 20:24:16,2015-03-10 23:57:47,
12,5,jumlah tidak sesuai PO jadi lom bisa di input krn PO lom bisa di edit,2015.3.5,06/01/15,1,0,,0,0,False,10,2015-01-08,2015-01-22,False,,False,2015-03-10 21:18:49,2015-03-10 21:50:40,
13,40,,2015.3.6,01/01/15,1,1,,964700,0,False,10,2015-01-06,2015-02-06,True,2015-01-06,False,2015-03-10 21:48:23,2015-03-10 23:58:39,
14,36,,2015.3.7,YP1412-0789,1,1,,2112000,0,False,10,2014-12-18,2015-01-02,True,2014-12-18,False,2015-03-10 22:12:04,2015-03-10 23:58:13,
15,71,"no inv dari PSS, tanda terima dari PSS",2015.3.8,627,2,12158,6,146.3,0,False,10,2014-12-23,2015-02-23,True,2014-12-23,False,2015-03-10 22:23:48,2015-03-10 23:58:25,
16,31,,2015.3.9,14.104/8649,2,12158,6,2073.5,0,False,10,2014-12-03,2014-12-03,True,2014-12-03,False,2015-03-16 17:21:23,2015-03-16 17:21:59,
