Id,Name,ItemTypeId,IsDeleted,CreatedAt,UpdatedAt,DeletedAt
1,Sheetfed Fountain Additives,8,False,2015-04-07 22:02:47,,
2,Webfed Fountain Additives,29,False,2015-04-07 22:03:02,2015-04-15 14:56:02,
3,Fountain Aids,8,False,2015-04-07 22:03:14,,
4,Aromatic Free Washes,8,False,2015-04-07 22:03:25,,
5,Others,8,False,2015-04-07 22:03:37,,
6,Maintenance Products,8,False,2015-04-07 22:03:46,,
7,Ink Duct Emulsion,8,False,2015-04-07 22:03:57,,
8,Varnish Aids,8,False,2015-04-07 22:04:08,,
9,Plate Protection Gums,8,False,2015-04-07 22:24:46,,
10,Plate Cleaners,8,False,2015-04-07 22:25:02,,
11,Anti Set Off Powders,8,False,2015-04-07 22:25:23,,
12,Paper Remoisturiser,8,False,2015-04-07 22:26:07,,
13,Ink Additives,8,False,2015-04-07 22:26:25,,
14,Special Products,8,False,2015-04-07 22:26:42,,
15,Pelumas,19,False,2015-04-07 22:27:38,,
16,Safety,19,False,2015-04-07 22:27:57,,
17,Production Others ,19,False,2015-04-07 22:30:23,,
